USER	PID	LWP	NLWP	CPU	MEM	COMMAND
root	50	2	50	0.00	0.00	0:10 [migration/9]
root	51	2	51	0.00	0.00	0:00 [ksoftirqd/9]
root	53	2	53	0.00	0.00	0:00 [kworker/9:0H-events_highpri]
root	54	2	54	0.00	0.00	0:00 [rcu_exp_par_gp_kthread_worker/2]
root	55	2	55	0.00	0.00	0:00 [cpuhp/10]
root	56	2	56	0.00	0.00	0:00 [idle_inject/10]
root	57	2	57	0.00	0.00	0:06 [migration/10]
root	58	2	58	0.00	0.00	0:00 [ksoftirqd/10]
root	60	2	60	0.00	0.00	0:00 [kworker/10:0H-events_highpri]
root	61	2	61	0.00	0.00	0:00 [cpuhp/11]
root	62	2	62	0.00	0.00	0:00 [idle_inject/11]
root	63	2	63	0.00	0.00	0:04 [migration/11]
root	64	2	64	0.00	0.00	0:00 [ksoftirqd/11]
root	66	2	66	0.00	0.00	0:00 [kworker/11:0H-events_highpri]
root	67	2	67	0.00	0.00	0:00 [cpuhp/12]
root	68	2	68	0.00	0.00	0:00 [idle_inject/12]
root	69	2	69	0.00	0.00	0:04 [migration/12]
root	70	2	70	0.00	0.00	0:00 [ksoftirqd/12]
root	72	2	72	0.00	0.00	0:00 [kworker/12:0H-events_highpri]
root	73	2	73	0.00	0.00	0:00 [cpuhp/13]
root	74	2	74	0.00	0.00	0:00 [idle_inject/13]
root	75	2	75	0.00	0.00	0:03 [migration/13]
root	76	2	76	0.00	0.00	0:00 [ksoftirqd/13]
root	78	2	78	0.00	0.00	0:00 [kworker/13:0H-events_highpri]
root	79	2	79	0.00	0.00	0:00 [cpuhp/14]
root	80	2	80	0.00	0.00	0:00 [idle_inject/14]
root	81	2	81	0.00	0.00	0:03 [migration/14]
root	82	2	82	0.00	0.00	0:00 [ksoftirqd/14]
root	84	2	84	0.00	0.00	0:00 [kworker/14:0H-events_highpri]
root	85	2	85	0.00	0.00	0:00 [cpuhp/15]
root	86	2	86	0.00	0.00	0:00 [idle_inject/15]
root	87	2	87	0.00	0.00	0:02 [migration/15]
root	88	2	88	0.00	0.00	0:00 [ksoftirqd/15]
root	90	2	90	0.00	0.00	0:00 [kworker/15:0H-events_highpri]
root	91	2	91	0.00	0.00	0:00 [cpuhp/16]
root	92	2	92	0.00	0.00	0:00 [idle_inject/16]
root	93	2	93	0.00	0.00	0:02 [migration/16]
root	94	2	94	0.00	0.00	0:00 [ksoftirqd/16]
root	96	2	96	0.00	0.00	0:00 [kworker/16:0H-events_highpri]
root	97	2	97	0.00	0.00	0:00 [cpuhp/17]
root	98	2	98	0.00	0.00	0:00 [idle_inject/17]
root	99	2	99	0.00	0.00	0:01 [migration/17]
root	100	2	100	0.00	0.00	0:00 [ksoftirqd/17]
root	102	2	102	0.00	0.00	0:00 [kworker/17:0H-events_highpri]
root	103	2	103	0.00	0.00	0:00 [cpuhp/2]
root	104	2	104	0.00	0.00	0:00 [idle_inject/2]
root	105	2	105	0.00	0.00	0:01 [migration/2]
root	106	2	106	0.00	0.00	0:00 [ksoftirqd/2]
root	108	2	108	0.00	0.00	0:00 [kworker/2:0H-events_highpri]
root	109	2	109	0.00	0.00	0:00 [cpuhp/4]
root	110	2	110	0.00	0.00	0:00 [idle_inject/4]
root	111	2	111	0.00	0.00	0:00 [migration/4]
root	112	2	112	0.00	0.00	0:00 [ksoftirqd/4]
root	114	2	114	0.00	0.00	0:00 [kworker/4:0H-events_highpri]
root	115	2	115	0.00	0.00	0:00 [cpuhp/5]
root	116	2	116	0.00	0.00	0:00 [idle_inject/5]
root	117	2	117	0.00	0.00	0:01 [migration/5]
root	118	2	118	0.00	0.00	0:00 [ksoftirqd/5]
root	120	2	120	0.00	0.00	0:00 [kworker/5:0H-events_highpri]
root	121	2	121	0.00	0.00	0:00 [cpuhp/7]
root	122	2	122	0.00	0.00	0:00 [idle_inject/7]
root	123	2	123	0.00	0.00	0:00 [migration/7]
root	124	2	124	0.00	0.00	0:00 [ksoftirqd/7]
root	126	2	126	0.00	0.00	0:00 [kworker/7:0H-events_highpri]
root	129	2	129	0.00	0.00	0:00 [kdevtmpfs]
root	130	2	130	0.00	0.00	0:00 [kworker/R-inet_frag_wq]
root	131	2	131	0.00	0.00	0:00 [kauditd]
root	132	2	132	0.00	0.00	0:00 [khungtaskd]
root	134	2	134	0.00	0.00	0:00 [oom_reaper]
root	135	2	135	0.00	0.00	0:00 [kworker/R-writeback]
