USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  23824 14420 ?        Ss   09:19   0:03 /sbin/init splash
avahi       1107  0.3  0.0  11568  7592 ?        Rs   09:19   2:33 avahi-daemon: running [blackdronzer.local]
root        1108  0.0  0.0  13844  7328 ?        Ss   09:19   0:00 /usr/libexec/bluetooth/bluetoothd
message+    1109  0.0  0.0  12464  7680 ?        Ss   09:19   0:07 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1112  0.0  0.1 365476 16672 ?        Ssl  09:19   0:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1115  0.0  0.0 391148 13040 ?        Ssl  09:19   0:03 /usr/lib/polkit-1/polkitd --no-debug
root        1117  0.0  0.0 313736  8240 ?        Ssl  09:19   0:00 /usr/libexec/power-profiles-daemon
root        1124  0.0  0.2 2811376 42876 ?       Ssl  09:19   0:06 /snap/snapd/current/usr/lib/snapd/snapd
root        1128  0.0  0.0 313384  7960 ?        Ssl  09:19   0:01 /usr/libexec/accounts-daemon
root        1130  0.0  0.0   9424  2904 ?        Ss   09:19   0:00 /usr/sbin/cron -f -P
root        1132  0.0  0.0 309720  6856 ?        Ssl  09:19   0:00 /usr/libexec/switcheroo-control
root        1138  0.0  0.0  18176  9304 ?        Ss   09:19   0:01 /usr/lib/systemd/systemd-logind
root        1139  0.0  0.0 424904 10892 ?        Ssl  09:19   0:05 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1140  0.0  0.0 470060 14860 ?        Ssl  09:19   0:00 /usr/libexec/udisks2/udisksd
root        1141  1.2  1.0 4715980 168784 ?      Ssl  09:19   8:50 /bin/warp-svc
avahi       1147  0.0  0.0   8480  1520 ?        S    09:19   0:00 avahi-daemon: chroot helper
root        1186  0.0  0.1 627080 24192 ?        Ssl  09:19   0:10 /usr/sbin/NetworkManager --no-daemon
root        1189  0.0  0.0  18424 12396 ?        Ss   09:19   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1222  0.0  0.0 222564  6628 ?        Ssl  09:19   0:02 /usr/sbin/rsyslogd -n -iNONE
root        1293  0.0  0.0 392192 12780 ?        Ssl  09:19   0:00 /usr/sbin/ModemManager
root        1313  0.0  0.0 313512  7952 ?        Ssl  09:19   0:00 /usr/libexec/boltd
root        1351  0.0  0.0 318016 10900 ?        Ssl  09:19   0:02 /usr/libexec/upowerd
root        1417  0.0  0.0      0     0 ?        S    09:19   0:00 [psimon]
root        1426  0.0  0.0  38340 12348 ?        Ss   09:19   0:00 /usr/sbin/cupsd -l
root        1432  0.0  0.1 112256 22628 ?        Ssl  09:19   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1452  0.0  0.2 2461680 45892 ?       Ssl  09:19   0:34 /usr/bin/containerd
root        1455  0.0  0.0 314816  9404 ?        Ssl  09:19   0:00 /usr/sbin/gdm3
mysql       1469  0.4  2.4 2310776 395796 ?      Ssl  09:19   3:12 /usr/sbin/mysqld
rtkit       1534  0.0  0.0  22940  3528 ?        SNsl 09:19   0:00 /usr/libexec/rtkit-daemon
root        1645  0.0  0.0      0     0 ?        S<   09:19   0:00 [krfcommd]
colord      1707  0.0  0.0 320212 14936 ?        Ssl  09:19   0:00 /usr/libexec/colord
cups-br+    2178  0.0  0.1 268480 20360 ?        Ssl  09:19   0:00 /usr/sbin/cups-browsed
root        2179  0.0  0.5 2862900 79652 ?       Ssl  09:19   0:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
ollama      2181  0.0  0.1 2152436 31564 ?       Ssl  09:19   0:00 /usr/local/bin/ollama serve
kernoops    2182  0.0  0.0  12744  2448 ?        Ss   09:19   0:00 /usr/sbin/kerneloops --test
kernoops    2185  0.0  0.0  12744  2380 ?        Ss   09:19   0:00 /usr/sbin/kerneloops
root        2560  0.0  0.0 463916 11680 ?        Sl   09:19   0:00 gdm-session-worker [pam/gdm-password]
supprit     2573  0.0  0.0  21692 13028 ?        Ss   09:19   0:04 /usr/lib/systemd/systemd --user
supprit     2579  0.0  0.0  21464  3396 ?        S    09:19   0:00 (sd-pam)
supprit     2589  0.0  0.1 121340 18248 ?        S<sl 09:19   0:05 /usr/bin/pipewire
supprit     2590  0.0  0.0  97736  5836 ?        Ssl  09:19   0:00 /usr/bin/pipewire -c filter-chain.conf
